document_id	courier_id	year	record_number	pages	catalogue_title	authors	filename
0	146744	1947	146885	[3, 4]	UNESCO faces two worlds	Dexter, Byron	1947_146744_146885.txt
1	73649	1948	73651	[1]	M. Maritain calls for unity	Maritain, Jacques	1948_073649_73651.txt
2	73649	1948	73652	[1]	Dr. Huxley pays tribute to Mexico	Huxley, Julian	1948_073649_73652.txt
3	73649	1948	73654	[1]	UNESCO appeal; war not inevitable		1948_073649_73654.txt
4	73649	1948	73655	[1, 6]	Highlights of projects and budget for 2nd year		1948_073649_73655.txt
5	73649	1948	73657	[2]	Natural sciences: practical steps for international cooperation among scientists	Needham, Joseph	1948_073649_73657.txt
6	73649	1948	73658	[2]	Dr. Walker elected Chairman of Executive Board		1948_073649_73658.txt
7	73649	1948	73659	[2]	National Commissions to play big role, UNESCO Conference agrees		1948_073649_73659.txt
8	73649	1948	73662	[3]	Free flow of ideas debated		1948_073649_73662.txt
9	73649	1948	73663	[3]	Production unit planned: mass media to be used for peace	Grierson, John	1948_073649_73663.txt
10	73649	1948	73665	[3]	Surveys in mass media broadened: press, radio, film needs of new Member States to be studied		1948_073649_73665.txt
11	73649	1948	73666	[3]	48 scholarships to be awarded war-hit nations		1948_073649_73666.txt
12	73649	1948	73667	[4]	Fundamental education	Bowers, John	1948_073649_73667.txt
13	73649	1948	73668	[4]	Brazil's campaign for literacy		1948_073649_73668.txt
14	73649	1948	73669	[5]	Education: three seminars slated for the coming year	Kuo Yu-shou	1948_073649_73669.txt
15	73649	1948	73671	[5]	UNESCO to promote reconstruction fund	Drzewieski, Bernard	1948_073649_73671.txt
16	73649	1948	73672	[6]	Book coupon scheme to be studied in 1948	Carter, Edward J.	1948_073649_73672.txt
17	73649	1948	73674	[7]	Translations of classics to be promoted by UNESCO	Mayoux, Jean Jacques	1948_073649_73674.txt
18	73649	1948	73675	[7]	Social scientists study international tensions	Brodersen, Arvid	1948_073649_73675.txt
19	73649	1948	73676	[7]	Moral guide of world says Mexican President in tribute to UNESCO		1948_073649_73676.txt
20	73649	1948	73677	[7]	Dr. Gual Vidal stresses education role in building peace		1948_073649_73677.txt
21	73649	1948	73678	[8]	Arts and letters programme for 1948		1948_073649_73678.txt
22	73649	1948	73681	[7]	World copyright law planned		1948_073649_73681.txt
23	73649	1948	380000	[1, 7]	"Conference sets programme for 1948: “UNESCO month"" attracts thousands of visitors to Mexican capital"		1948_073649_380000.txt
